school_name,city,state,zip,school_url,price_calculator_url,in_state_tuition,out_of_state_tuition,attendance_cost,median_debt,student_size,net_price_public,net_price_private,median_earnings_10yrs,completion_rate,admission_rate,sat_average,first_generation,median_family_income,age_entry,completion_rate_imputed,admission_rate_imputed,sat_average_imputed,first_generation_imputed
BJ's Beauty & Barber College,Tacoma,WA,98409,www.bjsbeautyandbarbercollege.com/,www.bjsbeautyandbarbercollege.com/net-price-calculator/,0,0,0,6333.0,39,0,16537,23216,,,,0.5084745763,18000,28,True,True,True,False
North Seattle College,Seattle,WA,98103-3599,www.northseattle.edu/,https://resources.northseattle.edu/net-price-calculator,5058,5547,14719,15458.0,2744,7159,0,47728,0.3358,,,0.3994732221,18408,29,False,True,True,False
Northwest University,Kirkland,WA,98083-0579,www.northwestu.edu/,www.northwestu.edu/financial-aid/net-price-calculator,35000,35000,45835,20891.0,662,0,18753,54914,0.6275,0.9426,1198.0,0.3636363636,46713,25,False,False,False,False
Olympic College,Bremerton,WA,98337-1699,www.olympic.edu/,www.olympic.edu/paying-college/financial-aid/financial-aid-faqs/net-price-calculator,4202,9740,14738,12000.0,4016,5636,0,43169,0.3131,,,0.4201973302,18989,28,False,True,True,False
Perry Technical Institute,Yakima,WA,98903-1296,www.perrytech.edu/,www.perrytech.edu/about/disclosures/netprice/,0,0,0,14139.0,879,0,17842,57764,0.7912,,,0.5605815832,27537,24,False,True,True,False
Pacific Lutheran University,Tacoma,WA,98447-0003,www.plu.edu/,www.plu.edu/financial-aid/HEOA-Required-Consumer-Information/net-price-calculator.php,50928,50928,60866,22578.0,2253,0,17751,66990,0.7062,0.889,1338.0,0.2958139535,59189,21,False,False,False,False
Peninsula College,Port Angeles,WA,98362,www.pencol.edu/,www.pencol.edu/financial/net-price-calculator,4439,4919,11040,15786.0,1105,3509,0,37078,0.4675,,,0.443597561,14857,28,False,True,True,False
University of Puget Sound,Tacoma,WA,98416,www.pugetsound.edu/,https://www.collegenpc.com/UniversityofPugetSound,57626,57626,73002,25000.0,1712,0,26537,69594,0.7519,0.8266,1301.0,0.1231788079,90104,20,False,False,False,False
Renton Technical College,Renton,WA,98056-4123,www.rtc.edu/,www.rtc.edu/net-price-calculator,5784,6252,14777,7920.0,1600,6627,0,49782,0.5925,,,0.52,17837,29,False,True,True,False
Saint Martin's University,Lacey,WA,98503-7500,https://www.stmartin.edu/,https://www.stmartin.edu/documents/net-price-calculator,42220,42220,54442,22500.0,1344,0,13827,62092,0.6048,0.9504,1090.0,0.340952381,41889,23,False,False,False,False
South Seattle College,Seattle,WA,98106-1499,southseattle.edu/,southseattle.edu/financial-aid/net-price-calculator,4865,5354,15346,13500.0,1660,6660,0,44486,0.3143,,,0.4848066298,17191,26,False,True,True,False
Seattle Central College,Seattle,WA,98122,www.seattlecentral.edu/,https://seattlecentral.edu/enrollment-and-funding/financial-aid-and-funding/financial-aid/net-price-calculator,4865,5354,13941,12000.0,3498,5762,0,43307,0.2977,,,0.4375757576,15512,28,False,True,True,False
Seattle Pacific University,Seattle,WA,98119-1997,https://spu.edu/,https://spu.edu/undergraduate-admissions/scholarships-financial-aid/net-price-calculator,37158,37158,51895,24000.0,2409,0,18413,64506,0.6567,0.9071,1205.0,0.2286995516,62276,20,False,False,False,False
Seattle University,Seattle,WA,98122-4340,www.seattleu.edu/,www.seattleu.edu/undergraduate-admissions/finances/calculator/,51324,51324,66095,19883.0,4033,0,23825,75272,0.7462,0.8515,1269.0,0.1940298507,74787,21,False,False,False,False
Shoreline Community College,Shoreline,WA,98133-5696,www.shoreline.edu/,www.shoreline.edu/enrollment-services/cashiering/netprice/npcalc.htm,4256,7082,15059,12021.0,3566,7769,0,52009,0.2903,,,0.4009530293,21253,27,False,True,True,False
Skagit Valley College,Mount Vernon,WA,98273,www.skagit.edu/,www.skagit.edu/netpricecalculator/,4747,7888,13870,13805.0,2763,5216,0,43505,0.3469,,,0.4403470716,22051,27,False,True,True,False
South Puget Sound Community College,Olympia,WA,98512-6292,www.spscc.edu/,www.spscc.edu/extra/netprice/index.html,4938,10687,14178,11000.0,3611,6133,0,45039,0.4383,,,0.4268774704,18874,27,False,True,True,False
Spokane Community College,Spokane,WA,99217-5399,https://scc.spokane.edu/,https://scc.spokane.edu/How-to-Pay-for-College/How-Much-Does-it-Cost,3928,5278,12185,13501.0,4515,4400,0,41984,0.3363,,,0.4042553191,20691,27,False,True,True,False
Spokane Falls Community College,Spokane,WA,99224-5288,https://sfcc.spokane.edu/,https://sfcc.spokane.edu/How-to-Pay-for-College/How-Much-Does-it-Cost,3928,5278,12580,12000.0,3638,3976,0,38955,0.3127,,,0.361754386,23411,25,False,True,True,False
Stylemaster College of Hair Design,Longview,WA,98632-3027,stylemasters.edu/,www.stylemasters.edu/NetPriceCalc/npcalc.htm,0,0,0,8953.0,39,0,6835,20580,0.5319,,,0.5421686747,9968,26,False,True,True,False
Tacoma Community College,Tacoma,WA,98466-6100,https://www.tacomacc.edu/,https://www.tacomacc.edu/about/policies/net-price-calculator,4901,10649,13052,13000.0,5113,5727,0,47168,0.3515,,,0.450525394,21692,27,False,True,True,False
Walla Walla Community College,Walla Walla,WA,99362-9267,https://www.wwcc.edu/,https://www.wwcc.edu/finaid1/NetPriceCalculator/npcalc.htm,4965,6306,13918,14000.0,2260,3337,0,43526,0.3998,,,0.4568181818,23492,25,False,True,True,False
Walla Walla University,College Place,WA,99324-1198,www.wallawalla.edu/,npc.wallawalla.edu/,31758,31758,42392,26842.0,1234,0,16395,61885,0.6332,,,0.1661442006,65228,20,False,True,True,False
Washington State University,Pullman,WA,99164-5910,https://wsu.edu/,https://forms.financialaid.wsu.edu/cost-of-attendanceaid-estimator/npc/,12701,28385,26396,19500.0,22265,8032,0,68905,0.6076,0.831,,0.3408797654,44850,22,False,False,True,False
University of Washington-Seattle Campus,Seattle,WA,98195-4550,www.washington.edu/,https://www.washington.edu/financialaid/getting-started/net-price-calculator/,12242,40740,28650,14615.0,30931,5963,0,78466,0.8412,0.4752,,0.3272745332,39205,22,False,False,True,False
Wenatchee Valley College,Wenatchee,WA,98801-1799,www.wvc.edu/,www.wvc.edu/admissions/support/financial-aid/NetPrice/npcalc.htm,4968,5458,15680,10332.0,2308,6510,0,41127,0.3552,,,0.5275275275,23128,24,False,True,True,False
Western Washington University,Bellingham,WA,98225-9008,wwu.edu/,tcc.ruffalonl.com/Western Washington University/Freshman-Students,8967,26873,26158,18500.0,13686,11513,0,62569,0.665,0.9269,1257.0,0.2668539326,51312,21,False,False,False,False
Whatcom Community College,Bellingham,WA,98226,whatcom.edu/,mywcc.whatcom.edu/NetPriceCalc,4982,10731,14535,10643.0,2821,5163,0,44092,0.3844,,,0.4124365482,19256,25,False,True,True,False
Whitman College,Walla Walla,WA,99362,www.whitman.edu/,https://www.whitman.edu/admission-and-aid/financial-aid-and-costs/net-price-calculator,58622,58622,71982,18437.0,1472,0,20462,67589,0.896,0.477,1416.0,0.116838488,98863,19,False,False,False,False
Whitworth University,Spokane,WA,99251,www.whitworth.edu/,https://www.whitworth.edu/forms/financial-aid/net-price-calculator/index.aspx,48990,48990,63427,25000.0,2037,0,16783,58561,0.7553,0.9052,1207.0,0.242248062,63155,22,False,False,False,False
Yakima Valley College,Yakima,WA,98907-2520,https://www.yvcc.edu/,https://www.yvcc.edu/financial-aid/net-price-calculator/?highlight=net price calculator,4998,5488,16275,13966.0,3241,7940,0,43499,0.2992,,,0.555849306,23450,24,False,True,True,False
Alderson Broaddus University,Philippi,WV,26416-2035,ab.edu/,ab.edu/net-price-calculator/,31500,31500,44217,26000.0,633,0,17544,49556,0.3271,0.6149,991.0,0.3605442177,50174,20,False,False,False,False
Appalachian Beauty School,Belfry,KY,41514,appalachianbeautyschool.com/,https://appalachianbeautyschool.com/,0,0,0,13500.0,39,0,10406,0,0.7,,,,11555,23,False,True,True,True
Appalachian Bible College,Mount Hope,WV,25880-9557,https://abc.edu/,https://abc.edu/undergraduate/costs-and-aid/financial-aid/npc/,17050,17050,28102,11000.0,182,0,17021,37467,0.5783,1.0,1088.0,,41816,20,False,False,False,True
B M Spurr School of Practical Nursing,Glen Dale,WV,26038,https://wvumedicine.org/reynolds-memorial/,https://wvumedicine.org/reynolds-memorial/programs/b-m-spurr-school-of-practical-nursing/,0,0,0,13500.0,15,0,11146,0,,,,,14407,27,True,True,True,True
Ben Franklin Career Center,Dunbar,WV,25064,bf.kana.k12.wv.us/,bf.kana.k12.wv.us/adult_students/net_price_calculator,0,0,0,13500.0,65,0,0,37962,0.8154,,,0.5217391304,10926,28,False,True,True,False
Bethany College,Bethany,WV,26032,www.bethanywv.edu/,www.bethanywv.edu/admissions-aid/cost-of-attendance/net-price-calculator/,32640,32640,47610,27000.0,594,0,10376,44512,0.4271,0.6492,,0.3387978142,50433,19,False,False,True,False
Bluefield State University,Bluefield,WV,24701-2198,https://bluefieldstate.edu/,https://bluefieldstate.studentaidcalculator.com/,9840,17030,18445,18250.0,1244,8471,0,38217,0.3361,0.9717,999.0,0.4924924925,26625,24,False,False,False,False
Cabell County Career Technology Center,Huntington,WV,25705-2827,www.cabellschools.com/Domain/12,filecabinet5.eschoolview.com/52683175-1FA0-4997-843E-335FE2CF1624/NetPriceCalc/npcalc.htm,0,0,0,13500.0,41,5985,0,33975,0.9559,,,0.5505617978,17943,26,False,True,True,False
Charleston School of Beauty Culture,Charleston,WV,25304,charlestonschoolofbeautyculture.com/,charlestonschoolofbeautyculture.com/,0,0,0,6128.0,55,0,12462,17827,0.4692,,,0.6115702479,11120,26,False,True,True,False
University of Charleston,Charleston,WV,25304,www.ucwv.edu/,econnections.ucwv.edu/forms/npc,31900,31900,43177,19500.0,2330,0,21509,55774,0.4242,0.6773,,0.4312736444,44569,24,False,False,True,False
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,WV,26301,clarksburgbeautyacademywv.com/,clarksburgbeautyacademywv.com/npcalc.htm,0,0,0,6415.0,61,0,7390,16306,0.3729,,,0.6781609195,6409,28,False,True,True,False
Concord University,Athens,WV,24712,https://www.concord.edu/,https://concord.studentaidcalculator.com/survey.aspx,9100,19340,18362,18900.0,1311,7447,0,42703,0.4109,0.9139,1007.0,0.4765380605,33025,21,False,False,False,False
Davis & Elkins College,Elkins,WV,26241-3996,www.dewv.edu/,www.dewv.edu/admissions/afford/financial-aid/calculator/,30680,30680,43278,27000.0,644,0,18848,43411,0.4687,0.7526,985.0,0.4784688995,40924,21,False,False,False,False
Fairmont State University,Fairmont,WV,26554-2470,https://www.fairmontstate.edu/,https://fairmontstate.studentaidcalculator.com/survey.aspx,8008,17836,17238,21000.0,2776,8336,0,46857,0.4586,0.9849,973.0,0.4139814309,41285,22,False,False,False,False
Glenville State University,Glenville,WV,26351-1292,www.glenville.edu/,https://glenville.studentaidcalculator.com/survey.aspx,9064,10724,23819,25000.0,1257,17278,0,39315,0.3536,,,0.4847715736,28906,22,False,True,True,False
Huntington Junior College,Huntington,WV,25701,www.huntingtonjuniorcollege.edu/,www.huntingtonjuniorcollege.edu/Financial-Aid/Net-Price-Calculator.aspx,10050,10050,16328,21604.0,144,0,9810,21783,0.1967,,,0.6175771971,5134,30,False,True,True,False
James Rumsey Technical Institute,Martinsburg,WV,25403-0259,www.jamesrumsey.com/,www.jamesrumsey.com/,0,0,0,13500.0,101,8505,0,45133,0.8471,,,0.5966386555,17358,30,False,True,True,False
Ralph R Willis Career and Technical Center,Stollings,WV,25646,www.rrw.logancountyschoolswv.com/,rrwctc.com/,0,0,0,13500.0,18,842,0,51465,0.8148,,,,13561,27,False,True,True,True
Marshall University,Huntington,WV,25755,https://www.marshall.edu/,https://marshall.studentaidcalculator.com/survey.aspx,8604,19658,20327,23250.0,6965,5705,0,46354,0.5097,0.9688,,0.3740231743,41378,21,False,False,True,False
Mercer County Technical Education Center,Princeton,WV,24740,https://mercercountyschools.sites.thrillshare.com/o/mctec,https://mcboe.us/calc/,0,0,0,13500.0,122,6514,0,33511,0.8036,,,0.6216216216,16083,25,False,True,True,False
Monongalia County Technical Education Center,Morgantown,WV,26501-6841,https://mtec.mono.k12.wv.us/,https://mtec.mono.k12.wv.us/high-school-students/financial-aid-information/net-price-calculator,0,0,0,13500.0,47,7390,0,40499,0.6945,0.8,,,17246,27,False,False,True,True
Morgantown Beauty College Inc,Morgantown,WV,26505-5430,www.morgantownbeautycollege.edu/,morgantownbeautycollege.edu/net-cost-calculator.html,0,0,0,6365.0,79,0,9536,22230,0.7195,,,0.4592592593,26604,23,False,True,True,False
Mountain State College,Parkersburg,WV,26101-3993,www.msc.edu/,msc.edu/,8665,8665,19560,13500.0,20,0,10066,25314,,,,0.6626506024,4012,30,True,True,True,False
West Virginia University at Parkersburg,Parkersburg,WV,26104,www.wvup.edu/,https://wvup.studentaidcalculator.com/survey.aspx,4132,9124,8840,12570.0,1486,4561,0,35171,0.3523,,,0.449031171,25133,25,False,True,True,False
Potomac State College of West Virginia University,Keyser,WV,26726,www.potomacstatecollege.edu/,financialaid.wvu.edu/home/estimate-costs-aid/net-price-calculator,4752,12120,14511,22500.0,954,5587,0,55939,0.2494,,,0.3039163376,60096,20,False,True,True,False
Academy of Careers and Technology,Beckley,WV,25801,www.wvact.net/,www.wvact.net/net-price-caluclator,0,0,0,13500.0,130,572,0,32756,0.798,,,0.552,17064,25,False,True,True,False
Salem University,Salem,WV,26426,https://www.salemu.edu/,https://www.salemu.edu/NPC/index.html,13150,13150,21566,24694.0,756,0,13772,34642,0.2971,,,0.5395683453,19775,30,False,True,True,False
Shepherd University,Shepherdstown,WV,25443,www.shepherd.edu/,https://shepherd.studentaidcalculator.com/,8282,18722,18205,21600.0,2325,425,0,49358,0.4588,0.9586,1064.0,0.4086097389,46435,22,False,False,False,False
Southern West Virginia Community and Technical College,Mount Gay,WV,25637,https://www.southernwv.edu/,https://southernwv.studentaidcalculator.com/survey.aspx,4344,6864,11859,9190.0,1093,4166,0,32153,0.2477,,,0.6130604288,14324,24,False,True,True,False
Fred W Eberle Technical Center,Buckhannon,WV,26201,fetc.edu/,fetc.edu/?q=netpricecalc,0,0,0,13500.0,86,4125,0,43364,0.8969,,,0.6481481481,19418,26,False,True,True,False
West Virginia School of Osteopathic Medicine,Lewisburg,WV,24901,www.wvsom.edu/,https://www.wvsom.edu/financial-aid/financial-aid-literacy,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
West Virginia State University,Institute,WV,25112-1000,www.wvstateu.edu/,https://wvstateu.studentaidcalculator.com/survey.aspx,8647,14385,19182,23338.0,1362,9274,0,40492,0.3271,0.9618,967.0,0.4338725024,30715,22,False,False,False,False
West Virginia University Hospital Departments of Rad Tech and Nutrition,Morgantown,WV,26506-8062,https://wvumedicine.org/radtech,wvumedicine.org/radtech/financial-aid,0,0,0,13500.0,55,0,0,69666,,,,,46069,25,True,True,True,True
West Liberty University,West Liberty,WV,26074,www.westliberty.edu/,https://www.westliberty.edu/financial-aid/net-price-calculator/,8716,17100,22394,23250.0,1648,11920,0,43296,0.5208,0.7409,995.0,0.3562970936,45145,21,False,False,False,False
West Virginia University Institute of Technology,Beckley,WV,25801,www.wvutech.edu/,https://financialaid.wvutech.edu/get-aid/net-price-calculator,7848,19584,18060,22500.0,1038,5080,0,55939,0.3114,0.6458,1050.0,0.3039163376,60096,20,False,False,False,False
West Virginia Wesleyan College,Buckhannon,WV,26201-2994,www.wvwc.edu/,https://wvwc.studentaidcalculator.com/survey.aspx,32976,32976,47149,27000.0,886,0,14995,51593,0.5392,0.9635,1067.0,0.295379538,63074,19,False,False,False,False
West Virginia Junior College-Charleston,Cross Lanes,WV,25313-1304,www.wvjc.edu/,www.wvjc.edu/npcalc/charleston_index.html,14529,14529,22063,8270.0,225,0,13634,27472,0.6489,,,0.5642857143,15663,25,False,True,True,False
West Virginia Junior College-Morgantown,Morgantown,WV,26505,www.wvjc.edu/,www.wvjc.edu/npcalc/morgantown_index.html,14102,14102,26318,9881.0,525,0,17693,31912,0.7358,,,0.6095505618,18881,27,False,True,True,False
International Beauty School 4,Martinsburg,WV,25401,www.theinternationalbeautyschool.com/,www.theinternationalbeautyschool.com/resources/net-price-calculator/,0,0,0,6333.0,79,0,14186,18906,0.8095,,,0.7,8625,28,False,True,True,False
West Virginia Northern Community College,Wheeling,WV,26003-3699,www.wvncc.edu/,https://wvncc.studentaidcalculator.com/survey.aspx,4394,12362,10137,10245.0,868,1785,0,30162,0.3077,,,0.4854910714,21195,25,False,True,True,False
West Virginia University,Morgantown,WV,26506,www.wvu.edu/,financialaid.wvu.edu/net-price-calculator,9360,26568,22810,22500.0,18370,9047,0,55939,0.63,0.8838,1116.0,0.3039163376,60096,20,False,False,False,False
Wheeling University,Wheeling,WV,26003,www.wheeling.edu/,https://www.wheeling.edu/admissions/financial-aid/net-price-calculator/,28290,28290,41602,25125.0,578,0,16119,57949,0.6413,0.7265,,0.3673469388,59200,22,False,False,True,False
Wood County School of Practical Nursing,Parkersburg,WV,26101,https://www.woodcountyschoolswv.com/o/wctc/page/practical-nursing,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1201532/index_2.html,0,0,0,13500.0,30,0,0,40547,,,,,17044,28,True,True,True,True
VICI Beauty School,Greenfield,WI,53228,www.vicibeautyschool.com/,vicibeautyschool.com/netprice/,0,0,0,6333.0,113,0,9408,32393,0.8211,,,0.4574898785,31568,23,False,True,True,False
Alverno College,Milwaukee,WI,53234-3922,https://www.alverno.edu/,https://www.alverno.edu/NPC,31858,31858,42812,27000.0,717,0,16511,53145,0.4987,0.8988,,0.4426470588,34078,24,False,False,True,False
Madison Area Technical College,Madison,WI,53704-2599,madisoncollege.edu/,https://madisoncollege.edu/net-price-calculator,4607,6812,16250,14060.0,8572,8985,0,45413,0.2338,,,0.404903758,31113,25,False,True,True,False
Bellin College,Green Bay,WI,54311,https://www.bellincollege.edu/,https://www.bellincollege.edu/admissions/financial-aid-and-scholarships/net-price-calculator/,21900,21900,30905,18000.0,346,0,18010,76222,0.6818,0.9286,,0.3103448276,83875,25,False,False,True,False
Beloit College,Beloit,WI,53511-5595,www.beloit.edu/,https://www.beloit.edu/offices/financial-aid/apply-for-aid/net-price-calculator/,56312,56312,66936,25738.0,921,0,13552,53260,0.7235,0.6586,1306.0,0.1930184805,69784,19,False,False,False,False
Blackhawk Technical College,Janesville,WI,53547-5009,www.blackhawk.edu/,www.blackhawk.edu/NetPriceCalculator/npcalc.htm,4642,6793,13596,9550.0,2273,7229,0,41620,0.3804,,,0.5080988917,24284,26,False,True,True,False
Cardinal Stritch University,Milwaukee,WI,53217-3985,https://www.stritch.edu/,https://www.stritch.edu/finaid,35444,35444,45740,30571.0,526,0,17326,58698,0.5262,0.9258,980.0,0.4549019608,36000,26,False,False,False,False
Carroll University,Waukesha,WI,53186,www.carrollu.edu/,www.carrollu.edu/financial-aid/net-price-calculator,36190,36190,48464,27000.0,2689,0,20265,58009,0.6723,0.7214,1212.0,0.2715654952,79870,20,False,False,False,False
Carthage College,Kenosha,WI,53140-1994,www.carthage.edu/,carthage.studentaidcalculator.com/survey.aspx,34500,34500,46744,26000.0,2541,0,13172,56950,0.6639,0.8183,1160.0,0.2623839009,80809,20,False,False,False,False
Concordia University-Wisconsin,Mequon,WI,53097-2402,https://www.cuw.edu/,https://cuw.studentaidcalculator.com/survey.aspx,33062,33062,47970,25750.0,2556,0,20209,56075,0.6233,0.7037,1150.0,0.3183879093,58748,24,False,False,False,False
Edgewood College,Madison,WI,53711-1997,www.edgewood.edu/,www.edgewood.edu/admissions/tuition-and-financial-aid/net-price-calculator-freshman,33550,33550,47807,24424.0,1127,0,22266,59728,0.6207,0.9862,,0.2810271041,58183,22,False,False,True,False
Fox Valley Technical College,Appleton,WI,54912-2277,https://www.fvtc.edu/,https://netpricecalculator.fvtc.edu/npcalc.htm,4826,6977,15845,10402.0,5525,8709,0,45684,0.529,,,0.4499284692,32825,25,False,True,True,False
Gateway Technical College,Kenosha,WI,53144-1690,https://www.gtc.edu/,https://www.gtc.edu/sites/default/files/NetPriceCalculator/index.html,4766,6917,14012,12165.0,4566,7300,0,40264,0.421,,,0.4859405941,22911,26,False,True,True,False
The Professional Hair Design Academy,Eau Claire,WI,54701-7633,phdacademy.edu/,phdacademy.edu/net-price-calculator/,0,0,0,13500.0,66,0,12295,29587,0.8841,,,,20739,26,False,True,True,True
Lakeland University,Plymouth,WI,53073,www.lakeland.edu/,https://lakeland.edu/traditional-undergraduate-financial-aid/net-price-calculator,31786,31786,45519,25000.0,1281,0,17678,55961,0.4747,0.9951,,0.4363636364,38821,27,False,False,True,False
Lakeshore Technical College,Cleveland,WI,53015-1414,gotoltc.edu/,gotoltc.edu/financial-aid/student-consumer-information/net-price-calculator,4562,6713,13777,7000.0,1747,8406,0,47113,0.4975,,,0.4901531729,32063,27,False,True,True,False
Lawrence University,Appleton,WI,54911,https://www.lawrence.edu/,https://www.collegenpc.com/LawrenceUniversity,53979,53979,65910,26000.0,1411,0,12482,55789,0.7927,0.7227,1358.0,0.1739130435,83776,19,False,False,False,False
Maranatha Baptist University,Watertown,WI,53094,www.mbu.edu/,https://mbu.edu/net-price-calculator/,18810,18810,29409,14143.0,571,0,20931,45593,0.5637,0.7508,1117.0,0.1915492958,49012,21,False,False,False,False
Marian University,Fond Du Lac,WI,54935-4699,https://www.marianuniversity.edu/,https://www.marianuniversity.edu/admission-financial-aid/financial-aid/net-price-calculator/,30000,30000,39345,25000.0,1058,0,25554,53501,0.536,0.7155,1050.0,0.3896961691,57509,23,False,False,False,False
Marquette University,Milwaukee,WI,53233,www.marquette.edu/,https://tcc.noellevitz.com/Marquette University/Freshman-Students,46670,46670,61926,23940.0,7290,0,15753,78257,0.8196,0.8721,1302.0,0.1934628975,96300,19,False,False,False,False
Medical College of Wisconsin,Milwaukee,WI,53226-0509,www.mcw.edu/,Not Available. We will work on replacing this,0,0,0,13500.0,0,0,0,0,,,,,6282,27,True,True,True,True
Mid-State Technical College,Wisconsin Rapids,WI,54494,https://www.mstc.edu/,https://www.mstc.edu/paying-for-college/financial-aid/netcalc/npcalc,4760,6850,13710,8000.0,2035,6864,0,42253,0.4326,,,0.4535519126,25965,26,False,True,True,False
Milwaukee Area Technical College,Milwaukee,WI,53233-1443,https://www.matc.edu/,https://www.matc.edu/costs-scholarships-aid/net-price-calculator/index.html,4867,7018,15392,14955.0,11082,8859,0,41113,0.1649,,,0.4900673691,21120,25,False,True,True,False
Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003,www.miad.edu/,www.miad.edu/net-price-calculator,41140,41140,50250,27000.0,895,0,19771,41174,0.5486,0.6397,,0.3005780347,48419,20,False,False,True,False
Milwaukee School of Engineering,Milwaukee,WI,53202-3109,www.msoe.edu/,www.msoe.edu/admissions-aid/financial-aid-scholarships/financial-aid-basics/financial-aid-estimator/,46506,46506,57411,27000.0,2562,0,15843,89070,0.6865,0.6347,,0.2359882006,68352,21,False,False,True,False
Moraine Park Technical College,Fond du Lac,WI,54936-1940,www.morainepark.edu/,www.morainepark.edu/pay-for-college/affordability/net-price-calculator/,4641,6793,13554,8225.0,2269,6435,0,44371,0.4516,,,0.5306291391,32896,27,False,True,True,False
Mount Mary University,Milwaukee,WI,53222-4597,www.mtmary.edu/,https://www.mtmary.edu/costs-aid/financial-aid/index.html,33390,33390,46622,25288.0,640,0,21853,48745,0.5492,0.6945,1050.0,0.3933161954,31190,22,False,False,False,False
Nashotah House,Nashotah,WI,53058-9793,www.nashotah.edu/,www.nashotah.edu/tuition-fees,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Nicolet Area Technical College,Rhinelander,WI,54501-0518,https://www.nicoletcollege.edu/,https://www.nicoletcollege.edu/cost-aid/net-price-calculator,4642,6962,12434,7837.0,738,5624,0,38643,0.4683,,,0.4680451128,24803,25,False,True,True,False
Northcentral Technical College,Wausau,WI,54401-1899,www.ntc.edu/,https://webfiles.ntc.edu/net-price-calculator/npcalc.html,3791,5512,15800,7500.0,2958,10561,0,44925,0.3028,,,0.4785894207,28075,26,False,True,True,False
Northeast Wisconsin Technical College,Green Bay,WI,54307-9042,https://www.nwtc.edu/,https://www.nwtc.edu/NWTC/media/admissions/financial-aid/net-price-calculator/,4814,6965,14409,11719.0,6966,7188,0,44553,0.5197,,,0.4675858023,28805,25,False,True,True,False
Northland College,Ashland,WI,54806-3999,https://www.northland.edu/,https://applynow.northland.edu/register/NPC,41237,41237,53032,25450.0,508,0,17953,44560,0.5588,0.6839,1129.0,0.2014134276,52619,21,False,False,False,False
Ripon College,Ripon,WI,54971-0248,www.ripon.edu/,www.ripon.edu/admission/calculator/,49600,49600,59356,27000.0,754,0,16721,54902,0.5911,0.8133,,0.2808022923,75858,19,False,False,True,False
Saint Norbert College,De Pere,WI,54115-2099,www.snc.edu/,https://www.snc.edu/affordability/net-price-calculator.html,43204,43204,54466,26731.0,1784,0,18888,58363,0.7483,0.8359,1178.0,0.2054176072,85480,19,False,False,False,False
State College of Beauty Culture Inc,Wausau,WI,54403,www.statecollegeofbeauty.com/,https://www.statecollegeofbeauty.com/netprice-calculator.html,0,0,0,5606.0,39,0,8901,28037,0.6957,,,,25378,23,False,True,True,True
Southwest Wisconsin Technical College,Fennimore,WI,53809-9778,https://www.swtc.edu/,https://www.swtc.edu/admissions/paying-for-college/NetPriceCalculator,4571,6731,14718,7500.0,1381,8306,0,43470,0.5731,,,0.4950055494,33516,25,False,True,True,False
Viterbo University,La Crosse,WI,54601-8804,www.viterbo.edu/,https://www.viterbo.edu/financial-aid/first-year-student-net-price-calculator,31150,31150,42691,25000.0,1456,0,14622,55660,0.626,0.7238,1188.0,0.2816229117,67276,23,False,False,False,False
Chippewa Valley Technical College,Eau Claire,WI,54701-6162,www.cvtc.edu/,www.cvtc.edu/pay-for-college,4642,6793,15303,11432.0,4074,9237,0,46297,0.439,,,0.3916981132,33827,24,False,True,True,False
Waukesha County Technical College,Pewaukee,WI,53072-4601,https://www.wctc.edu/,https://www.wctc.edu/admissions/tuition-aid/net-price-calculator.htm,4728,6879,13664,12000.0,4180,7601,0,46894,0.4552,,,0.4341801386,27380,27,False,True,True,False
Western Technical College,La Crosse,WI,54601,https://www.westerntc.edu/,https://www.westerntc.edu/sites/default/files/paying-for-college/index.html,4636,6788,14882,11500.0,3507,7287,0,45303,0.4245,,,0.389468455,34889,24,False,True,True,False
University of Wisconsin-Whitewater,Whitewater,WI,53190-1790,www.uww.edu/,www.uww.edu/students/financial-aid-award-estimator,7864,17039,18326,23188.0,8893,8772,0,55356,0.6256,0.8238,1090.0,0.2996237065,70028,21,False,False,False,False
Northwood Technical College,Shell Lake,WI,54871-8727,https://www.northwoodtech.edu/,https://www.northwoodtech.edu/sites/default/files/static/NetPriceCalculator/index.html,4570,6624,14873,8250.0,2092,7739,0,43406,0.5927,,,0.4204308548,30123,26,False,True,True,False
Wisconsin School of Professional Psychology,Milwaukee,WI,53225-4960,www.wspp.edu/,https://www.wspp.edu/student-services/student-fee-schedule,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
University of Wisconsin-Eau Claire,Eau Claire,WI,54701,www.uwec.edu/,www.uwec.edu/tuition-financial-aid,8914,17627,20478,20909.0,9138,9652,0,58561,0.6664,0.7662,1190.0,0.2198406156,79294,20,False,False,False,False
University of Wisconsin-Green Bay,Green Bay,WI,54311-7001,www.uwgb.edu/,www.uwgb.edu/vsa/calculator/,7873,16091,17641,18500.0,6305,9396,0,52528,0.534,0.8962,1090.0,0.3631100083,53209,24,False,False,False,False
